case_thickness,case_diameter,water_resistance,price,case_material_encoded,band_material_encoded,case_back_encoded,bezel_material_encoded,brand_encoded,watch_style_encoded,crystal_encoded,hands_encoded,dial_markers_encoded,gender_MENS,gender_UNISEX,gender_WOMENS,movement_Automatic,movement_Eco-Drive,movement_Hand Wind,movement_Quartz
11.4,42.0,50.0,824.4,4588.540388969551,9134.886424057448,13958.984296213206,3992.1576718226197,1634.490236386661,4900.2919996848605,22835.274850552232,5804.794220445459,14007.021142975074,True,False,False,True,False,False,False
7.0,35.0,30.0,49.2,914.9756881193073,9134.886424057448,9612.898845885835,4438.239565661727,1194.0568732544223,633.9268990984743,830.2776298651087,11956.21882108183,14007.021142975074,False,False,True,False,False,False,True
11.64,44.0,50.0,679.99,4588.540388969551,4160.7543918154515,13958.984296213206,3992.1576718226197,1634.490236386661,1212.9597405119152,22835.274850552232,3866.5901038315087,14007.021142975074,True,False,False,True,False,False,False
9.8,36.0,20.0,46110.0,52660.30894180337,64209.50219579287,86374.56248086809,45703.353506241336,175516.2265147719,33312.18142360189,22835.274850552232,74003.29512482663,19342.421628857843,True,False,False,True,False,False,False
7.4,32.0,50.0,2730.0,4588.540388969551,4160.7543918154515,13958.984296213206,14387.521957928802,14387.521957928802,4900.2919996848605,22835.274850552232,3866.5901038315087,20971.01945073218,False,False,True,False,False,False,True
11.9,45.0,50.0,65.0,4588.540388969551,4160.7543918154515,9612.898845885835,3992.1576718226197,393.9183875811972,1212.9597405119152,650.7465300479291,17488.354006572878,14007.021142975074,True,False,False,False,False,False,True
11.196182331158523,23.0,30.0,7265.0,4588.540388969551,9134.886424057448,9612.898845885835,15143.355291262136,14114.078851918184,4900.2919996848605,22835.274850552232,35763.81579750347,15466.891468446602,False,False,True,False,False,False,True
10.5,45.0,30.0,69.0,8387.910174757282,1526.4412258743714,9612.898845885835,11961.875963938974,2850.949058252427,7272.004905756978,7629.008340688438,5629.612469902913,25695.879159776683,True,False,False,False,False,False,True
16.0,38.299275680421424,200.0,315.0,4588.540388969551,4160.7543918154515,9612.898845885835,3992.1576718226197,582.8308836293678,1212.9597405119152,22835.274850552232,17488.354006572878,14007.021142975074,True,False,False,False,True,False,False
10.2,40.0,50.0,454.99,4588.540388969551,4160.7543918154515,9612.898845885835,3992.1576718226197,1634.490236386661,1212.9597405119152,22835.274850552232,3866.5901038315087,14007.021142975074,True,False,False,False,False,False,True
6.4,32.0,50.0,119.0,4588.540388969551,9134.886424057448,9612.898845885835,3992.1576718226197,994.245849514563,4900.2919996848605,1003.2585174757281,17488.354006572878,14007.021142975074,False,False,True,False,False,False,True
11.196182331158523,41.0,300.0,42500.0,45276.00133607664,38707.41507943513,9612.898845885835,21015.855291262134,34423.14305182504,5052.8810145254765,22835.274850552232,37952.85036915782,3301.702453662842,True,False,False,True,False,False,False
11.196182331158523,28.0,50.0,2269.99,14310.85362459547,4160.7543918154515,9612.898845885835,50472.40512628032,3792.8236338418865,33312.18142360189,22835.274850552232,17488.354006572878,35653.09813684697,False,False,True,False,False,False,True
9.2,45.0,20.0,36965.0,52660.30894180337,62641.52824883136,86374.56248086809,45703.353506241336,175516.2265147719,33312.18142360189,22835.274850552232,22055.677704019003,19342.421628857843,False,False,True,True,False,False,False
8.6,34.0,30.0,6785.0,4588.540388969551,41933.0745654184,9612.898845885835,3992.1576718226197,10262.600369157823,33312.18142360189,22835.274850552232,17488.354006572878,10554.760145631068,False,False,True,True,False,False,False
9.0,33.0,50.0,140.0,4588.540388969551,4160.7543918154515,9612.898845885835,3992.1576718226197,5037.178338092518,1212.9597405119152,830.2776298651087,22055.677704019003,14007.021142975074,False,False,True,False,False,False,True
10.35,33.0,100.0,289.0,4588.540388969551,4160.7543918154515,13958.984296213206,3992.1576718226197,1642.7316265132445,33312.18142360189,22835.274850552232,17488.354006572878,14007.021142975074,False,False,True,True,False,False,False
12.0,43.0,100.0,124.0,4588.540388969551,20189.782459618524,9612.898845885835,4556.254624889673,994.245849514563,7272.004905756978,1003.2585174757281,3866.5901038315087,14007.021142975074,True,False,False,False,False,False,True
10.0,39.0,50.0,560.0,4588.540388969551,4160.7543918154515,9612.898845885835,3992.1576718226197,1095.9398900456194,633.9268990984743,22835.274850552232,22055.677704019003,14007.021142975074,False,False,True,False,False,False,True
7.5,37.0,30.0,138.99,1500.9812112806287,9134.886424057448,9612.898845885835,1360.8534398426937,2127.518136846972,1212.9597405119152,830.2776298651087,18527.347242876313,19342.421628857843,True,False,False,False,False,False,True
11.196182331158523,34.0,100.0,9950.0,4588.540388969551,14147.185529126213,9612.898845885835,3992.1576718226197,34423.14305182504,33312.18142360189,22835.274850552232,17488.354006572878,14007.021142975074,True,False,False,True,False,False,False
11.196182331158523,28.0,100.0,16430.0,4588.540388969551,16650.51317475728,9612.898845885835,50472.40512628032,34423.14305182504,33312.18142360189,22835.274850552232,33615.74502361585,14007.021142975074,False,False,True,True,False,False,False
11.196182331158523,47.0,300.0,18115.0,16542.2847043248,20189.782459618524,9612.898845885835,15819.594312297733,17741.623357605178,5052.8810145254765,22835.274850552232,17157.875963938972,3301.702453662842,True,False,False,True,False,False,False
9.3,37.0,50.0,156975.0,45276.00133607664,68315.39703250317,36610.85831063517,28272.18676461475,175516.2265147719,33312.18142360189,22835.274850552232,7801.932959240409,14007.021142975074,True,False,False,True,False,False,False
