URL,Price,BOX_TYPE,CASE_DIAMETER,CASE_MATERIAL,CASE_SHAPE,BAND_MATERIAL,BAND_TYPE,BAND_COLOR,CLASP,DIAL_COLOR,TYPE,CRYSTAL,HANDS,LUMINISCENCE,BEZEL,BRAND,COLLECTION_NAME,GENDER,MODEL,WATCH_LABEL,MOVEMENT,FUNCTIONS,WATCH_FEATURES,WATCH_STYLE,WARRANTY,JOMASHOP_SKU,ITEM_VARIATION,DEPARTMENT,CATEGORY,DIAL_MARKERS,SECOND_MARKERS,BEZEL_COLOR,BEZEL_MATERIAL,ENGINE,WATER_RESISTANCE,CASE_BACK,CROWN,POWER_RESERVE,CALENDAR,ADDITIONAL_INFO,COLOR,BOX,PAPERS,CASE_THICKNESS,BAND_WIDTH,SUB_DIALS,UPC_CODE,CLOSURE_TYPE,PREOWNED_ITEM_CONDITION,YEAR,COMMENTS,BAND_LENGTH,CASE_COLOR,SIZE_INFO,BRAND_TYPE,CONDITION_DESCRIPTION,MATERIAL
https://www.jomashop.com/rebellion-predator-2-0-black-dial-mens-watch-rb-pr2-reg-tb-bkbl-1.html,"$9,623.00",Original Box,48 mm,Titanium,Round,Rubber,Strap,Blue,Fold Over with Safety Release,Black,Analog,Scratch Resistant Sapphire,Blue,Hands,Fixed,Rebellion,Predator 2.0,Mens,RB.PR2.REG.TB.BKBL-1,,Automatic,"Chronograph, Date, Hour, Minute, Second","Power Reserve Indicator, Analog, Rubber, Titanium, Chronograph",Luxury,,Y-A54G4,,Watches,,Index,Minute Markers around the outer rim,Black,Titanium,,50 meters / 165 feet,Transparent,Screw Down,,Date display at the 4 o'clock position,The Regulator Power Reserve indicator movement is based on a self-winding Swiss Made movement developed exclusively for REBELLION by Telos Watch. A un,,,,18 mm,30 mm,,,,,,,,,,,,
https://www.jomashop.com/invicta-invicta-racing-jm-limited-edition-quartz-gunmetal-dial-mens-watch-48066.html,$115.00,Original Box,45 mm,Stainless Steel,Tonneau,Silicone,Strap,Two-tone (Blue and Black),Buckle,Gunmetal,Analog,Scratch Resistant Mineral,Black,Hands and Markers,Fixed,Invicta,Invicta Racing,Mens,48066,,Quartz,"Date, Hour, Minute, Second","Analog, Plastic, Stainless Steel",Casual,With Manufacturer's Guarantee,IN48066,,Watches,,Arabic Numeral,Minute Markers around the outer rim,Two-tone (Blue and Black),Plastic and Aluminum and Stainless Steel,VJ42,50 meters / 165 feet,Transparent See Through,Pull / Push,,Date display at the 6 o'clock position,,,,,13.50 mm,30 mm,,886678640379.0,,,,,9 inches,,,,,
https://www.jomashop.com/preowned-1-piaget-dancer-white-dial-ladies-watch-94023-nk81.html,"$7,955.00",,32 mm,18kt Yellow Gold,Round,18kt Yellow Gold,Bracelet,Yellow Gold-tone,Fold Over with Safety Release,White,Analog,,Yellow Gold-tone,,Fixed,Piaget,Dancer,Womens,94023 NK81,Swiss Made,Hand Wind,"Hour, Minute","Gold, Analog",Dress,1 Year Jomashop Warranty,PRE-P-PG-97524,,Watches,,Roman Numeral,,Yellow Gold-tone,18kt Yellow Gold,,,Solid,,,,,,No,No,,,,,,Very Good,,,,,,,,
https://www.jomashop.com/preowned-4-rolex-day-date-diamond-silver-tone-dial-mens-watch-18346.html,"$25,795.00",,36 mm,Platinum,Round,Platinum President,Bracelet,,Crownclasp,Silver-tone,Analog,Scratch Resistant Sapphire,Silver-tone,,Fixed,Rolex,Day-Date,Mens,18346 SDP,Swiss Made,Automatic,"Date, Day, Hour, Minute, Second, Chronometer","Diamond, Analog, Chronometer, Platinum",Dress,1 Year Jomashop Warranty,PRE-P-RLX97557,,Watches,,Diamond,Minute Markers around the outer rim,,Diamond Set Platinum,Rolex Calibre 3155,100 meters / 330 feet,Solid,Screw Down,48 hours,Date display at the 3 o'clock position,,,No,No,,,,,,Good,,,,,,,,
https://www.jomashop.com/franck-muller-cintree-curvex-crazy-hours-color-dreams-automatic-diamond-watch-7851-ch-col-drm-d-cd-og.html,"$21,950.00",Original Box,35 mm,18kt White Gold,Tonneau,Alligator Leather,Strap,Purple,Tang,Diamond Set,Analog,Scratch Resistant Sapphire,Black,,Fixed,Franck Muller,Cintree Curvex Crazy Hours Color Dreams,Unisex,7851 CH COL DRM D CD OG,Swiss Made,Automatic,"Hour, Minute","Alligator Leather, Analog, Gold, Leather, Diamond",Luxury,2 Year Jomashop Warranty,Z-8AVZR,,Watches,,Multicolor Arabic Numeral,,,Diamond Set 18kt White Gold,,30 meters / 100 feet,Solid,,,,,,,,,,,,,,,,,,,,,
https://www.jomashop.com/preowned-1-piaget-limelight-jazz-party-black-dial-ladies-watch-g0a35156.html,"$15,341.00",,38 mm,18kt White Gold,Round,Rubber,Strap,Black,Buckle,Black,Analog,Scratch Resistant Sapphire,Black,,Fixed,Piaget,Limelight Jazz Party,Womens,G0A35156,Swiss Made,Quartz,"Hour, Minute","Analog, Gold, Rubber, Diamond",Dress,1 Year Jomashop Warranty,PRE-P-PG-97338,,Watches,,,,,Diamond Set 18kt White Gold,,,Solid,,,,,,No,No,,,,,,Very Good,,,,,,,,
https://www.jomashop.com/preowned-1-breitling-transocean-unitime-chronograph-automatic-white-dial-mens-watch-rb0510.html,"$11,364.00",,46 mm,18kt Rose Gold,Round,Leather,Strap,Black,Buckle,White,Analog,Scratch Resistant Sapphire,Rose Gold-tone,,Fixed,Breitling,Transocean Unitime,Mens,RB0510,Swiss Made,Automatic,"Chronograph, Column Wheel, World Time, Date, Hour, Minute, Small Second, Chronometer","Chronometer, World Time, Analog, Gold, Leather, Chronograph",Military,1 Year Jomashop Warranty,PRE-P-BT97329,,Watches,,Index,Minute Markers around the outer rim,Rose Gold-tone,18kt Rose Gold,Breitling Calibre 05,100 meters / 330 feet,Solid,Pull / Push,70 hours,Date display between 4 and 5 o'clock position,,,Yes,Yes,,,"Three - 60 Second, 30 Minute and 12 Hour",,,Excellent,,,,,,,,
https://www.jomashop.com/franck-muller-master-square-quartz-diamond-watch-6002-l-qz-d-cd-og.html,"$10,750.00",Original Box,29 mm,18kt White Gold,Square,Leather,Strap,Green,Buckle,Diamond Set,Analog,Scratch Resistant Sapphire,Blue,,Fixed,Franck Muller,Master Square,Unisex,6002 L QZ D CD OG,Swiss Made,Quartz,"Hour, Minute","Analog, Gold, Leather, Diamond",Luxury,2 Year Jomashop Warranty,Z-7U29L,,Watches,,Roman Numeral,Minute Scale around the inner rim,,Diamond Set 18kt White Gold,,,Solid,Pull / Push,,,,,,,,,,,,,,,,,,,,
https://www.jomashop.com/preowned-3-hublot-classic-fusion-white-dial-mens-watch-550-ns-2200-rw-orl20.html,"$6,364.00",,40 mm,Titanium,Dodecagon,Rubber,Strap,White,Deployment with Push Button Release,White,Analog,Scratch Resistant Sapphire,Silver-tone,,Fixed,Hublot,Classic Fusion,Mens,550.NS.2200.RW.ORL20,Swiss Made,Automatic,"Hour, Minute, Second","Analog, Rubber, Titanium",Luxury,1 Year Jomashop Warranty,PRE-P-HB96846,,Watches,,Index,,Grey,Titanium,Hublot Calibre HUB1100,50 meters / 165 feet,Transparent See Through,,42 hours,,"Original Box, Manual (Complete Accessories)",,No,No,,,,,,Very Good,,,,,,,,
https://www.jomashop.com/preowned-1-bvlgari-serpenti-black-dial-ladies-watch-102918.html,"$7,045.00",,32 mm,18kt Rose Gold,Unique,Leather,Strap,Black,Buckle,Black,Analog,Scratch Resistant Sapphire,Rose Gold-tone,,Fixed,Bvlgari,Serpenti,Womens,102918,Swiss Made,Quartz,"Hour, Minute","Analog, Gold, Leather, Diamond",Dress,1 Year Jomashop Warranty,PRE-P-BVL97992,SPP32BGDL,Watches,,Roman Numeral & Index,,Rose Gold-tone,Diamond Set 18kt Rose Gold,,50 meters / 165 feet,Solid,Cabochon,,,,,Yes,Yes,,,,,,Excellent,,,,,,Designer,,
https://www.jomashop.com/preowned-2-dior-christal-chronograph-purple-dial-ladies-watch-cd11431jr001.html,"$1,664.99",,38 mm,Stainless Steel,Round,Stainless Steel with sapphire crystals,Bracelet,,Deployment with Push Button Release,Purple,Analog,Scratch Resistant Sapphire,Silver-tone,Hands and Markers,Uni-Directional Rotating,Dior,Christal,Womens,CD11431JR001,Swiss Made,Quartz,"Second, Chronograph, Date, Hour, Minute","Analog, Rubber, Stainless Steel, Chronograph, Diamond",Sport,1 Year Jomashop Warranty,PRE-P-CD97614,,Watches,,,Minute Markers around the outer rim,,,,50 meters / 165 feet,,,,Date display between 4 and 5 o'clock position,"Automatic Date Between 4 & 5 o'clock. Hours, Minutes, Small Seconds and Chronograph functions. Stainless Steel with diamonds on Bezel. 1/10 second tim",,Yes,No,12 mm,,Three white,845960000994.0,,Mint,,,,,,Designer,,
https://www.jomashop.com/rebellion-predator-black-dial-mens-watch-rb-pr-ch-ti-bk.html,"$6,384.00",Original Box,48 mm,Titanium,Round,Rubber,Strap,Black,Fold Over with Safety Release,Black,Analog,Scratch Resistant Sapphire,Silver-tone,Hands and Markers,Fixed,Rebellion,Predator,Mens,RB.PR.CH.TI.BK,,Automatic,"Chronograph, Date, Hour, Minute, Second","Analog, Rubber, Titanium, Chronograph",Luxury,,Y-A52F9,,Watches,,Index,Minute Markers around the outer rim,Silver-tone,Titanium,RE-1,100 meters / 330 feet,Transparent,Screw Down,,Date display between 4 and 5 o'clock position,"Hours, minute, seconds, Date, Chronograph",,,,16.3 mm,30 mm,"Three - 60 Second, 30 Minute and 12 Hour",,,,,,,,,,,
https://www.jomashop.com/rebellion-re-volt-blue-dial-mens-watch-rb-rev-3h-ca-vbo.html,"$24,596.00",Original Box,38 mm,Carbon Fiber,Rectangle,Velcro,Strap,Black,Fold Over,Blue,Analog,Scratch Resistant Sapphire,Blue,Hands and Markers,Fixed,Rebellion,Re-Volt,Mens,RB.REV.3H.CA.VBO,,Hand Wind,"Hour, Minute, Second",Analog,Luxury,,Y-A52FL,,Watches,,Index,Minute Markers around the outer rim,Blue,Carbon Fiber,,30 meters / 100 feet,Transparent,Pull / Push,,,"Hour, Minute, Seconds",,,,12.5 mm,30 mm,,,,,,,,,,,,
