URL,Price,BOX_TYPE,CASE_DIAMETER,CASE_THICKNESS,CASE_MATERIAL,CASE_SHAPE,CASE_BACK,BAND_MATERIAL,BAND_TYPE,BAND_COLOR,CLASP,DIAL_COLOR,TYPE,CRYSTAL,HANDS,DIAL_MARKERS,SECOND_MARKERS,BEZEL,BEZEL_COLOR,BEZEL_MATERIAL,BRAND,COLLECTION_NAME,GENDER,MODEL,WATCH_LABEL,MOVEMENT,ENGINE,WATER_RESISTANCE,CALENDAR,FUNCTIONS,WATCH_FEATURES,WATCH_STYLE,WARRANTY,JOMASHOP_SKU,DEPARTMENT,CATEGORY,CROWN
https://www.jomashop.com/u-boat-classico-black-dial-mens-watch-8890.html,"$1,550.00",Original Box,40 mm,,Stainless Steel,Round,Transparent See Through,Leather,Strap,Black,Buckle,Black,Analog,Scratch Resistant Sapphire,Black,Arabic Numeral & Index,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,U-Boat,Classico,Mens,8890,,Automatic,,100 meters / 330 feet,Date display at the 6 o'clock position,"Date, Day, Hour, Minute, Second","Analog, Leather, Stainless Steel",Casual,2 Year Jomashop Warranty,UB8890,Watches,Watches,Lefty
https://www.jomashop.com/preowned-1-bell-ross-vintage-black-dial-mens-watch-br123-95-sc.html,"$2,216.00",,41 mm,12 mm,Stainless Steel,Round,Solid,Rubber,Strap,Black,Buckle,Black,Analog,Scratch Resistant Sapphire,Black,Arabic & Index,,Fixed,Black,Stainless Steel,Bell And Ross,Vintage,Mens,BR123-95-SC,Swiss Made,Automatic,,100 meters / 330 feet,Date display at the 6 o'clock position,"Date, Hour, Minute, Second, Water resistant","Analog, Rubber, Stainless Steel",Casual,1 Year Jomashop Warranty,PRE-P-61410,Watches,Watches,Pull / Push
https://www.jomashop.com/preowned-4-omega-speedmaster-black-dial-mens-watch-145-022-69.html,"$7,500.00",,41 mm,14 mm,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Deployment with Push Button Release,Black,Analog,Acrylic,Silver-tone,Index,Minute Markers around the outer rim,Fixed Tachymeter Scale,Black,Stainless Steel,Omega,Speedmaster,Mens,145.022-69,Swiss Made,Hand Wind,,,,"Chronograph, Hour, Minute, Second","Analog, Stainless Steel, Chronograph",Luxury,1 Year Jomashop Warranty,PRE-P-OM62985,Watches,Watches,
https://www.jomashop.com/gevril-wall-street-chrono-grey-dial-mens-watch-4154a.html,"$1,499.00",Original Box,43 mm,13 mm,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Deployment with Push Button Release,Grey,Analog,Scratch Resistant Sapphire,Silver-tone,Index,Minute Markers around the outer rim,Uni-directional Rotating,Grey,Stainless Steel,Gevril,Wall Street Chrono,Mens,4154A,Swiss Made,Automatic,Sellita Caliber SW500,200 meters / 660 feet,Date display at the 3 o'clock position,"Chronograph, Date, Day, Hour, Minute, Small Second","Analog, Ceramic, Stainless Steel, Chronograph",Luxury,With Manufacturers Guarantee,Y-A2LB9,Watches,Watches,Screw Down
https://www.jomashop.com/preowned-2-omega-constellation-chronograph-white-dial-mens-watch-15142000.html,"$3,977.00",,41 mm,14.5 mm,Stainless Steel,Round,Skeleton,Stainless Steel,Bracelet,Silver-tone,Deployment with Push Button Release,White,Analog,Scratch Resistant Sapphire,Silver-tone,Stick,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Omega,Constellation,Mens,15142000,Swiss Made,Automatic,Omega Calibre 3313,100 meters / 330 feet,Date display at the 6 o'clock position,"Chronograph, Date, Hour, Minute, Second, Chronometer","Analog, Chronometer, Stainless Steel, Chronograph",Luxury,1 Year Jomashop Warranty,PRE-P-OM61188,Watches,Watches,
https://www.jomashop.com/gv2-by-gevril-scuderia-black-dial-mens-watch-9925b.html,$595.00,Original Box,45 mm,13.5 mm,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Black-plated,Deployment with Push Button Release,Black,Analog,Scratch Resistant Sapphire,Silver-tone Skeleton,Index,24 Hour Markers. Minute Markers around the outer rim,Fixed,Black-plated,Stainless Steel with an inlaid Red Ring showing Tachymeter Markings,Gv2 By Gevril,Scuderia,Mens,9925B,Swiss Made,Quartz,Ronda Caliber 5130.D,100 meters / 330 feet,Date display at the 4 o'clock position,"Chronograph, Alarm, Date, Hour, Minute, Small Second","Analog, Stainless Steel, Chronograph, Alarm",Luxury,With Manufacturers Guarantee,Y-A2LC4,Watches,Watches,Pull / Push
https://www.jomashop.com/gv2-by-gevril-xo-submarine-green-dial-mens-watch-4543.html,"$1,051.00",Original Box,44 mm,13 mm,Stainless Steel,Square,Transparent See Through,Canvas,Strap,Green,Buckle,Green,Analog,Scratch Resistant Sapphire,Rose Gold-tone,Index,Minute Markers around the outer rim,Uni-directional Rotating,Green,Stainless Steel,Gv2 By Gevril,XO Submarine,Mens,4543,Swiss Made,Automatic,Sellita Caliber SW200,100 meters / 330 feet,Date display between 4 and 5 o'clock position,"Date, Hour, Minute, Second","Analog, Gold, Stainless Steel",Luxury,With Manufacturers Guarantee,Y-A2FFH,Watches,Watches,Screw Down
https://www.jomashop.com/preowned-2-patek-philippe-calatrava-opaline-white-dial-mens-watch-5196j-001.html,"$24,432.00",,37 mm,,18kt Yellow Gold,Round,Transparent,Leather,Strap,Brown,Tang,Opaline White,Analog,Scratch Resistant Sapphire,Gold-tone Dauphine-style,Index,Minute Markers around the outer rim,Fixed,,18kt Yellow Gold,Patek Philippe,Calatrava,Mens,5196J-001,Swiss Made,Hand Wind,Patek Philippe Calibre 215 PS,30 meters / 100 feet,,"Hour, Minute, Small Second","Analog, Gold, Leather",Luxury,1 Year Jomashop Warranty,PRE-P-PK-62769,Watches,Watches,
https://www.jomashop.com/stuhrling-original-aquadiver-blue-dial-mens-watch-883hl-05.html,"$196.00
after coupon",Original Box,42 mm,16 mm,Stainless Steel,Round,Transparent,Leather,Strap,Blue,Deployment with Push Button Release,Blue,Analog,Scratch Resistant Mineral,Silver-tone,Index,Minute Markers around the outer rim,Uni-directional Rotating,Blue,Stainless Steel,Stuhrling Original,Aquadiver,Mens,M17183,,Automatic,,200 meters / 660 feet,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Leather, Stainless Steel",Dive,With Manufacturers Guarantee,ST-O883HL05,Watches,Watches,Screw Down
https://www.jomashop.com/ball-engineer-hydrocarbon-chronograph-black-dial-mens-watch-dc3226a-s4c-bk.html,"$3,750.00",Original Box,42 mm,17.3 mm,Titanium,Round,Solid,Titanium 1,Bracelet,Grey,Fold Over with Safety Release,Black,Analog,Scratch Resistant Sapphire,Luminous Silver-tone,Index,Minute Markers around the outer rim,Uni-directional Rotating,Grey,Titanium with a Black Ceramic Ring,Ball,Engineer Hydrocarbon,Mens,DC3226A-S4C-BK,Swiss Made,Automatic,Ball Calibre RR1402-C,600 meters / 2000 feet,Day of the Week and Date display at the 3 o'clock position,"Chronograph, Date, Day, Hour, Minute, Second, Chronometer, Shock Resistant","Analog, Chronometer, Ceramic, Titanium, Chronograph",Dive,2 Year Jomashop Warranty,BALL-DC3226AS4CBK,Watches,Watches,Screw Down
